28/02/2024 09:48:08 - 0000:	 - train_loss: 0.902021:	 - test_loss: 0.903575:	 mIoU 0.0000
28/02/2024 09:48:39 - 0001:	 - train_loss: 0.769225:	 - test_loss: 0.778560:	 mIoU 0.3118
28/02/2024 09:49:10 - 0002:	 - train_loss: 0.680847:	 - test_loss: 0.748346:	 mIoU 0.3750
28/02/2024 09:49:41 - 0003:	 - train_loss: 0.656406:	 - test_loss: 0.735588:	 mIoU 0.4122
28/02/2024 09:50:11 - 0004:	 - train_loss: 0.639868:	 - test_loss: 0.720829:	 mIoU 0.4234
28/02/2024 09:50:42 - 0005:	 - train_loss: 0.618192:	 - test_loss: 0.719275:	 mIoU 0.4311
28/02/2024 09:51:13 - 0006:	 - train_loss: 0.624144:	 - test_loss: 0.719469:	 mIoU 0.4077
28/02/2024 09:51:44 - 0007:	 - train_loss: 0.606627:	 - test_loss: 0.699239:	 mIoU 0.4618
28/02/2024 09:52:15 - 0008:	 - train_loss: 0.599541:	 - test_loss: 0.705664:	 mIoU 0.4431
28/02/2024 09:52:45 - 0009:	 - train_loss: 0.606244:	 - test_loss: 0.693906:	 mIoU 0.4770
28/02/2024 09:53:16 - 0010:	 - train_loss: 0.618097:	 - test_loss: 0.719088:	 mIoU 0.4258
28/02/2024 09:53:47 - 0011:	 - train_loss: 0.622825:	 - test_loss: 0.719117:	 mIoU 0.4261
28/02/2024 09:54:18 - 0012:	 - train_loss: 0.602359:	 - test_loss: 0.704797:	 mIoU 0.4533
28/02/2024 09:54:48 - 0013:	 - train_loss: 0.601837:	 - test_loss: 0.699502:	 mIoU 0.4554
28/02/2024 09:55:19 - 0014:	 - train_loss: 0.592931:	 - test_loss: 0.740812:	 mIoU 0.3818
28/02/2024 09:55:50 - 0015:	 - train_loss: 0.589245:	 - test_loss: 0.690664:	 mIoU 0.4768
28/02/2024 09:56:21 - 0016:	 - train_loss: 0.588294:	 - test_loss: 0.689293:	 mIoU 0.4749
28/02/2024 09:56:51 - 0017:	 - train_loss: 0.573925:	 - test_loss: 0.678452:	 mIoU 0.4877
28/02/2024 09:57:22 - 0018:	 - train_loss: 0.570383:	 - test_loss: 0.674546:	 mIoU 0.4930
28/02/2024 09:57:53 - 0019:	 - train_loss: 0.573437:	 - test_loss: 0.686422:	 mIoU 0.4769
28/02/2024 09:58:24 - 0020:	 - train_loss: 0.570168:	 - test_loss: 0.677316:	 mIoU 0.4904
28/02/2024 09:58:55 - 0021:	 - train_loss: 0.567967:	 - test_loss: 0.671326:	 mIoU 0.4940
28/02/2024 09:59:25 - 0022:	 - train_loss: 0.569939:	 - test_loss: 0.667901:	 mIoU 0.4967
28/02/2024 09:59:56 - 0023:	 - train_loss: 0.556172:	 - test_loss: 0.667246:	 mIoU 0.4939
28/02/2024 10:00:27 - 0024:	 - train_loss: 0.563455:	 - test_loss: 0.676485:	 mIoU 0.4854
28/02/2024 10:00:58 - 0025:	 - train_loss: 0.566967:	 - test_loss: 0.673590:	 mIoU 0.4944
28/02/2024 10:01:29 - 0026:	 - train_loss: 0.555800:	 - test_loss: 0.666033:	 mIoU 0.4994
28/02/2024 10:01:59 - 0027:	 - train_loss: 0.557586:	 - test_loss: 0.671707:	 mIoU 0.4817
28/02/2024 10:02:30 - 0028:	 - train_loss: 0.547238:	 - test_loss: 0.665920:	 mIoU 0.4982
28/02/2024 10:03:01 - 0029:	 - train_loss: 0.550062:	 - test_loss: 0.660830:	 mIoU 0.5013
28/02/2024 10:03:31 - 0030:	 - train_loss: 0.550170:	 - test_loss: 0.656579:	 mIoU 0.5059
28/02/2024 10:04:02 - 0031:	 - train_loss: 0.543889:	 - test_loss: 0.656573:	 mIoU 0.5102
28/02/2024 10:04:33 - 0032:	 - train_loss: 0.542465:	 - test_loss: 0.666621:	 mIoU 0.4979
28/02/2024 10:05:04 - 0033:	 - train_loss: 0.551814:	 - test_loss: 0.653842:	 mIoU 0.5147
28/02/2024 10:05:34 - 0034:	 - train_loss: 0.549381:	 - test_loss: 0.658722:	 mIoU 0.5083
28/02/2024 10:06:05 - 0035:	 - train_loss: 0.553354:	 - test_loss: 0.683871:	 mIoU 0.4582
28/02/2024 10:06:36 - 0036:	 - train_loss: 0.553066:	 - test_loss: 0.655087:	 mIoU 0.5196
28/02/2024 10:07:06 - 0037:	 - train_loss: 0.548432:	 - test_loss: 0.656509:	 mIoU 0.5110
28/02/2024 10:07:37 - 0038:	 - train_loss: 0.542843:	 - test_loss: 0.668578:	 mIoU 0.5060
28/02/2024 10:08:08 - 0039:	 - train_loss: 0.544021:	 - test_loss: 0.661812:	 mIoU 0.5029
28/02/2024 10:08:39 - 0040:	 - train_loss: 0.536713:	 - test_loss: 0.680728:	 mIoU 0.4726
28/02/2024 10:09:09 - 0041:	 - train_loss: 0.521691:	 - test_loss: 0.642116:	 mIoU 0.5179
28/02/2024 10:09:40 - 0042:	 - train_loss: 0.513115:	 - test_loss: 0.643588:	 mIoU 0.5031
28/02/2024 10:10:11 - 0043:	 - train_loss: 0.517495:	 - test_loss: 0.645492:	 mIoU 0.5021
28/02/2024 10:10:42 - 0044:	 - train_loss: 0.520602:	 - test_loss: 0.642126:	 mIoU 0.5159
28/02/2024 10:11:12 - 0045:	 - train_loss: 0.515153:	 - test_loss: 0.635832:	 mIoU 0.5201
28/02/2024 10:11:43 - 0046:	 - train_loss: 0.502632:	 - test_loss: 0.634824:	 mIoU 0.5238
